ID,제조사,모델,차량상태,배터리용량,구동방식,주행거리(km),보증기간(년),연식(년),가격(백만원),사고이력_Yes
TRAIN_0000,4,16,1,0.9496321480791867,0,0.05178283590923211,-1.7360257011759859,2.9522541608239274,159.66,False
TRAIN_0001,3,10,1,-1.1732354114548957,1,-0.13782587443801428,0.21694913159823945,-0.4147178659469691,28.01,False
TRAIN_0002,0,17,0,1.311219091839971,0,-1.0915313430767044,0.5424449370606104,-0.4147178659469691,66.27,False
TRAIN_0003,0,12,1,0.8312148891964144,0,0.3538567656667729,-0.7595382847888732,-0.4147178659469691,99.16,False
TRAIN_0005,2,3,2,-1.0206390865650234,0,1.3703147424558508,-0.7595382847888732,-0.4147178659469691,37.02,False
TRAIN_0006,5,7,1,1.203386190905816,0,0.28116066398764705,-0.7595382847888732,-0.4147178659469691,83.42,False
TRAIN_0007,0,12,1,0.3955705614068944,0,0.5780595445701787,-0.10854667386413142,1.268768147438479,99.66,False
TRAIN_0008,5,9,0,-0.61448865965942,0,-1.129900027086242,0.8679407425229813,-0.4147178659469691,74.06,False
TRAIN_0009,0,11,0,-0.2528074884435229,0,-0.8017514466547371,0.5424449370606104,-0.4147178659469691,59.66,False
TRAIN_0010,3,10,1,-0.9627625896132681,1,-0.09575080162547417,0.8679407425229813,2.9522541608239274,28.78,False
TRAIN_0011,6,1,0,-0.5080481273914785,0,-1.5710460919569231,0.8679407425229813,-0.4147178659469691,40.5,False
TRAIN_0012,6,1,1,-0.31743964860119517,0,0.8161989552444179,-0.10854667386413142,1.268768147438479,41.21,False
TRAIN_0013,3,10,0,-1.2735358512129136,0,-1.5373757513821387,1.518932353447723,-0.4147178659469691,21.36,True
TRAIN_0014,3,10,1,-1.1732354114548957,1,0.1561657460667306,-0.10854667386413142,-0.4147178659469691,28.87,False
TRAIN_0015,0,17,0,1.311219091839971,0,-0.5192642750765785,0.5424449370606104,-0.4147178659469691,66.12,False
TRAIN_0016,4,15,1,0.2449505071446431,0,0.889801020438341,-1.085034090251244,-0.4147178659469691,130.61,False
TRAIN_0017,3,13,1,-1.1732354114548957,0,0.5363368058293312,0.21694913159823945,-0.4147178659469691,22.77,True
TRAIN_0018,5,9,2,-0.9821723904202592,0,1.5592014376876309,-1.085034090251244,-0.4147178659469691,75.86,False
TRAIN_0019,2,3,0,-0.47611135377306046,0,-0.6014520545657276,1.518932353447723,-0.4147178659469691,38.81,False
TRAIN_0020,5,7,0,1.9182164988949666,0,-1.4297303164351283,0.8679407425229813,-0.4147178659469691,63.9,False
TRAIN_0021,1,20,0,1.226521779227646,2,-0.9600044260256386,0.5424449370606104,-0.4147178659469691,80.38,False
TRAIN_0022,5,8,1,1.2287204663753781,0,0.6301308656355477,-0.4340424793265023,-0.4147178659469691,93.66,False
TRAIN_0023,3,13,1,-1.1732354114548957,0,0.5064608504843533,0.21694913159823945,-0.4147178659469691,23.82,False
TRAIN_0024,3,10,1,-1.1292633899903304,1,0.3625772671003485,0.5424449370606104,1.268768147438479,28.65,False
TRAIN_0025,5,7,1,1.1188150300223063,0,0.4938252652327681,-0.10854667386413142,1.268768147438479,84.47,False
TRAIN_0026,5,9,0,-0.61448865965942,0,-2.7484414261798933,0.5424449370606104,-0.4147178659469691,63.15,False
TRAIN_0027,2,3,0,-0.47611135377306046,0,-1.2078592104289845,1.518932353447723,-0.4147178659469691,38.26,False
TRAIN_0029,3,13,2,-1.8671181450313685,0,1.3682373977342883,-1.085034090251244,-0.4147178659469691,21.92,False
